cycle_idx,stepping_foot,foot_cycle,flags,Merged_distance,L_distance,R_distance,Merged_step_length,L_step_length,R_step_length,Merged_step_width,L_step_width,R_step_width,Merged_step_frames,L_step_frames,R_step_frames,Merged_stride_length,L_stride_length,R_stride_length,Merged_stride_frames,L_stride_frames,R_stride_frames,Merged_double_step_length,L_double_step_length,R_double_step_length,Merged_double_step_frames,L_double_step_frames,R_double_step_frames,Merged_stance_frames,L_stance_frames,R_stance_frames,Merged_swing_frames,L_swing_frames,R_swing_frames,Merged_single_support_frames,L_single_support_frames,R_single_support_frames,Merged_double_support_frames,L_double_support_frames,R_double_support_frames
0,left,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,right,0,,,,,,,,,,,62,,62,,,,,,,,,,,,,,,,42,,42,,,,,,
2,left,1,,793.1632850447966,793.1632850447966,,287.3191989867233,287.3191989867233,,297.344423616162,297.344423616162,,67,67,,688.2760988455141,688.2760988455141,,129,129,,,,,,,,88,88,,41,41,,42,42,,46,46,
3,right,1,,640.3856542475231,,640.3856542475231,270.0552169424337,,270.0552169424337,311.6098824157781,,311.6098824157781,60,,60,541.8369483793072,,541.8369483793072,127,,127,,,,,,,96,,96,31,,31,41,,41,55,,55
4,left,2,,632.8258851246222,632.8258851246222,,322.848532623364,322.848532623364,,319.39326855765256,319.39326855765256,,66,66,,583.6520583224221,583.6520583224221,,126,126,,,,,,,,88,88,,38,38,,31,31,,57,57,
5,right,2,,662.5376864746293,,662.5376864746293,253.89658628470008,,253.89658628470008,322.1717797867092,,322.1717797867092,57,,57,573.972482481312,,573.972482481312,123,,123,,,,,,,97,,97,26,,26,38,,38,59,,59
6,left,3,,773.7931891879946,773.7931891879946,,603.7644019834345,603.7644019834345,,285.2094372666265,285.2094372666265,,56,56,,898.5757130147688,898.5757130147688,,113,113,,,,,,,,68,68,,45,45,,26,26,,42,42,
7,right,3,,594.1039955609848,,594.1039955609848,-89.12493789774432,,-89.12493789774432,393.81507074351947,,393.81507074351947,31,,31,450.12042950343863,,450.12042950343863,87,,87,,,,,,,60,,60,27,,27,45,,45,15,,15
8,right,4,ipsilateral_anchor,154.6015896353245,,154.6015896353245,,,,,,,,,,,,,,,,295.447165527104,,295.447165527104,52,,52,29,,29,23,,23,,,,29,,29
9,left,4,,507.8092286566643,507.8092286566643,,393.27990311842115,393.27990311842115,,254.84116461828788,254.84116461828788,,60,60,,379.08335867990826,379.08335867990826,,143,143,,,,,,,,116,116,,27,27,,23,23,,93,93,
10,right,5,,449.4786302262068,,449.4786302262068,82.95846206094747,,82.95846206094747,300.9858280403288,,300.9858280403288,68,,68,442.1528839270417,,442.1528839270417,128,,128,,,,,,,89,,89,39,,39,27,,27,62,,62
11,left,5,,454.33352580181736,454.33352580181736,,238.799000801668,238.799000801668,,275.47986352023077,275.47986352023077,,65,65,,385.7187744998161,385.7187744998161,,133,133,,,,,,,,102,102,,31,31,,39,39,,63,63,
12,right,6,,468.3836390340382,,468.3836390340382,198.81687860707976,,198.81687860707976,271.5117882099002,,271.5117882099002,66,,66,442.1180640790422,,442.1180640790422,131,,131,,,,,,,103,,103,28,,28,31,,31,72,,72
13,left,6,,463.3352415640102,463.3352415640102,,138.91233336504044,138.91233336504044,,249.97277172340145,249.97277172340145,,62,62,,364.2130562953502,364.2130562953502,,128,128,,,,,,,,99,99,,29,29,,28,28,,71,71,
