cycle_idx,stepping_foot,foot_cycle,flags,Merged_distance,L_distance,R_distance,Merged_step_length,L_step_length,R_step_length,Merged_step_width,L_step_width,R_step_width,Merged_step_frames,L_step_frames,R_step_frames,Merged_stride_length,L_stride_length,R_stride_length,Merged_stride_frames,L_stride_frames,R_stride_frames,Merged_stance_frames,L_stance_frames,R_stance_frames,Merged_swing_frames,L_swing_frames,R_swing_frames,Merged_single_support_frames,L_single_support_frames,R_single_support_frames,Merged_double_support_frames,L_double_support_frames,R_double_support_frames
0,left,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,right,0,,,,,,,,,,,47,,47,,,,,,,,,,36,,36,,,,,,
2,left,1,,524.0772444012562,524.0772444012562,,185.08066078721995,185.08066078721995,,243.80971494705886,243.80971494705886,,113,113,,439.8665817040436,439.8665817040436,,160,160,,126,126,,34,34,,36,36,,90,90,
3,right,1,,460.1517991656883,,460.1517991656883,64.00956988483372,,64.00956988483372,257.3731456546285,,257.3731456546285,36,,36,229.7113863982366,,229.7113863982366,149,,149,129,,129,20,,20,34,,34,95,,95
4,left,2,,143.52610451836384,143.52610451836384,,-124.73149598020298,-124.73149598020298,,211.73518515244615,211.73518515244615,,20,20,,34.97565010117743,34.97565010117743,,56,56,,48,48,,8,8,,20,20,,28,28,
5,right,2,,199.18101419638344,,199.18101419638344,359.37769649220144,,359.37769649220144,242.5833369977401,,242.5833369977401,52,,52,320.09590259170767,,320.09590259170767,72,,72,49,,49,23,,23,8,,8,41,,41
6,left,3,,272.9470033022844,272.9470033022844,,-106.9160599179882,-106.9160599179882,,238.48525207360956,238.48525207360956,,40,40,,255.19412865503017,255.19412865503017,,92,92,,63,63,,29,29,,23,23,,40,40,
7,left,4,ipsilateral_anchor,176.70527694406675,176.70527694406675,,288.5909113087243,288.5909113087243,,0.0,0.0,,68,68,,288.5909113087243,288.5909113087243,,68,68,,49,49,,19,19,,29,29,,20,20,
8,right,3,,419.8597455457649,,419.8597455457649,214.22287212846277,,214.22287212846277,206.05254402465474,,206.05254402465474,33,,33,357.6991928436519,,357.6991928436519,141,,141,115,,115,26,,26,19,,19,96,,96
9,left,5,,386.03755515345415,386.03755515345415,,-204.82901924775868,-204.82901924775868,,68.22054577619058,68.22054577619058,,237,237,,84.47194337766827,84.47194337766827,,270,270,,263,263,,7,7,,26,26,,237,237,
10,left,6,ipsilateral_anchor,248.94382888425486,248.94382888425486,,333.6808066401183,333.6808066401183,,0.0,0.0,,119,119,,333.6808066401183,333.6808066401183,,119,119,,99,99,,20,20,,7,7,,92,92,
11,right,4,,608.6334883680669,,608.6334883680669,154.67823802651495,,154.67823802651495,176.42975027192202,,176.42975027192202,25,,25,342.8292219808575,,342.8292219808575,381,,381,359,,359,22,,22,20,,20,339,,339
12,left,7,,209.46324963198677,209.46324963198677,,208.67318733871133,208.67318733871133,,228.14846073971898,228.14846073971898,,42,42,,153.89094603647092,153.89094603647092,,67,67,,47,47,,20,20,,22,22,,25,25,
13,left,8,ipsilateral_anchor,285.0332904242579,285.0332904242579,,166.02199700340918,166.02199700340918,,0.0,0.0,,224,224,,166.02199700340918,166.02199700340918,,224,224,,202,202,,22,22,,20,20,,182,182,
14,right,5,,598.2072411553229,,598.2072411553229,134.770251723921,,134.770251723921,340.79467620147904,,340.79467620147904,124,,124,292.4534509866484,,292.4534509866484,390,,390,363,,363,27,,27,22,,22,341,,341
15,left,9,,453.5264989284482,453.5264989284482,,168.32057364380407,168.32057364380407,,338.60353410037044,338.60353410037044,,111,111,,308.50501918516665,308.50501918516665,,235,235,,211,211,,24,24,,27,27,,184,184,
