cycle_idx,stepping_foot,foot_cycle,flags,Merged_distance,L_distance,R_distance,Merged_step_length,L_step_length,R_step_length,Merged_step_width,L_step_width,R_step_width,Merged_step_frames,L_step_frames,R_step_frames,Merged_stride_length,L_stride_length,R_stride_length,Merged_stride_frames,L_stride_frames,R_stride_frames,Merged_stance_frames,L_stance_frames,R_stance_frames,Merged_swing_frames,L_swing_frames,R_swing_frames,Merged_single_support_frames,L_single_support_frames,R_single_support_frames,Merged_double_support_frames,L_double_support_frames,R_double_support_frames
0,left,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,right,0,,,,,,,,,,,43,,43,,,,,,,,,,34,,34,,,,,,
2,left,1,,500.36019412712676,500.36019412712676,,198.86022099099867,198.86022099099867,,243.73909643799692,243.73909643799692,,119,119,,442.8109506324343,442.8109506324343,,162,162,,126,126,,36,36,,34,34,,92,92,
3,right,1,,458.3938706573864,,458.3938706573864,55.35856523685731,,55.35856523685731,276.2274420906016,,276.2274420906016,37,,37,205.86615594604166,,205.86615594604166,156,,156,136,,136,20,,20,36,,36,100,,100
4,right,2,ipsilateral_anchor,165.70554398153752,,165.70554398153752,272.33276152714353,,272.33276152714353,0.0,,0.0,71,,71,272.33276152714353,,272.33276152714353,71,,71,47,,47,24,,24,20,,20,27,,27
5,left,2,,326.7471657854102,326.7471657854102,,-314.23734677034986,-314.23734677034986,,77.69840108220292,77.69840108220292,,22,22,,92.64228246324681,92.64228246324681,,130,130,,120,120,,10,10,,24,24,,96,96,
6,left,3,ipsilateral_anchor,50.29804677616303,50.29804677616303,,191.05647986917387,191.05647986917387,,0.0,0.0,,30,30,,191.05647986917387,191.05647986917387,,30,30,,10,10,,20,20,,10,10,,0,0,
7,right,3,,143.8486165698282,,143.8486165698282,110.75634339422142,,110.75634339422142,263.1647059902626,,263.1647059902626,13,,13,45.33584066718071,,45.33584066718071,65,,65,55,,55,10,,10,20,,20,35,,35
8,left,4,,103.45882095708251,103.45882095708251,,-59.676265244945114,-59.676265244945114,,229.35182124285595,229.35182124285595,,45,45,,110.38364235700874,110.38364235700874,,58,58,,38,38,,20,20,,10,10,,28,28,
9,left,5,ipsilateral_anchor,109.31735851474765,109.31735851474765,,103.69987620050468,103.69987620050468,,0.0,0.0,,73,73,,103.69987620050466,103.69987620050466,,73,73,,60,60,,13,13,,20,20,,40,40,
10,right,4,,305.8635994031615,,305.8635994031615,333.195150863628,,333.195150863628,180.12529241048904,,180.12529241048904,34,,34,388.3072969208795,,388.3072969208795,152,,152,126,,126,26,,26,13,,13,113,,113
11,left,6,,186.0397650581817,186.0397650581817,,-330.69122540305364,-330.69122540305364,,4.45479106432434,4.45479106432434,,18,18,,48.0491663715407,48.0491663715407,,52,52,,43,43,,9,9,,26,26,,17,17,
12,left,7,ipsilateral_anchor,103.92006074733372,103.92006074733372,,207.150840898607,207.150840898607,,0.0,0.0,,82,82,,207.150840898607,207.150840898607,,82,82,,54,54,,28,28,,9,9,,45,45,
13,left,8,ipsilateral_anchor,27.830563768295292,27.830563768295292,,45.68899855545091,45.68899855545091,,6.743495761743046e-07,6.743495761743046e-07,,30,30,,45.688998555450915,45.688998555450915,,30,30,,8,8,,22,22,,28,28,,-20,-20,
14,left,9,ipsilateral_anchor,298.7383528942349,298.7383528942349,,329.8293909826716,329.8293909826716,,0.0,0.0,,176,176,,329.8293909826716,329.8293909826716,,176,176,,153,153,,23,23,,22,22,,131,131,
15,right,5,,623.9519146887419,,623.9519146887419,203.53331913619104,,203.53331913619104,210.9732818401549,,210.9732818401549,32,,32,438.54493319727226,,438.54493319727226,338,,338,310,,310,28,,28,23,,23,287,,287
16,left,10,,183.00652671929313,183.00652671929313,,-36.873108463904096,-36.873108463904096,,277.3914821082457,277.3914821082457,,25,25,,57.93988274927731,57.93988274927731,,57,57,,40,40,,17,17,,28,28,,12,12,
17,left,11,ipsilateral_anchor,212.17713534800245,212.17713534800245,,103.5375458469052,103.5375458469052,,0.0,0.0,,208,208,,103.5375458469052,103.5375458469052,,208,208,,185,185,,23,23,,17,17,,168,168,
18,right,6,,402.1799190312795,,402.1799190312795,246.53593236609558,,246.53593236609558,258.10263677339674,,258.10263677339674,127,,127,129.8095224126489,,129.8095224126489,360,,360,340,,340,20,,20,23,,23,317,,317
19,left,12,,300.4419446435861,300.4419446435861,,-4.2409814020553895,-4.2409814020553895,,304.4360231604457,304.4360231604457,,113,113,,182.0803669701926,182.0803669701926,,240,240,,198,198,,42,42,,20,20,,178,178,
20,right,7,,365.6709616478713,,365.6709616478713,126.89815140033976,,126.89815140033976,262.62942183460035,,262.62942183460035,127,,127,280.9275801074006,,280.9275801074006,240,,240,214,,214,26,,26,42,,42,172,,172
